arabic,english,reference,category,origin
وَإِذَا غَشِیَهُم مَّوۡجࣱ كَٱلظُّلَلِ دَعَوُا۟ ٱللَّهَ مُخۡلِصِینَ لَهُ ٱلدِّینَ فَلَمَّا نَجَّىٰهُمۡ إِلَى ٱلۡبَرِّ فَمِنۡهُم مُّقۡتَصِدࣱۚ وَمَا یَجۡحَدُ بِـَٔایَـٰتِنَاۤ إِلَّا كُلُّ خَتَّارࣲ كَفُورࣲ,"And when waves come over them like canopies, they supplicate Allah, sincere to Him in religion. But when He delivers them to the land, there are [some] of them who are moderate [in faith]. And none rejects Our signs except everyone treacherous and ungrateful.",Luqman 31:32,General,Makki
یَـٰۤأَیُّهَا ٱلنَّاسُ ٱتَّقُوا۟ رَبَّكُمۡ وَٱخۡشَوۡا۟ یَوۡمࣰا لَّا یَجۡزِی وَالِدٌ عَن وَلَدِهِۦ وَلَا مَوۡلُودٌ هُوَ جَازٍ عَن وَالِدِهِۦ شَیۡـًٔاۚ إِنَّ وَعۡدَ ٱللَّهِ حَقࣱّۖ فَلَا تَغُرَّنَّكُمُ ٱلۡحَیَوٰةُ ٱلدُّنۡیَا وَلَا یَغُرَّنَّكُم بِٱللَّهِ ٱلۡغَرُورُ,"O mankind, fear your Lord and fear a Day when no father will avail his son, nor will a son avail his father at all. Indeed, the promise of Allah is truth, so let not the worldly life delude you and be not deceived about Allah by the Deceiver.",Luqman 31:33,General,Makki
إِنَّ ٱللَّهَ عِندَهُۥ عِلۡمُ ٱلسَّاعَةِ وَیُنَزِّلُ ٱلۡغَیۡثَ وَیَعۡلَمُ مَا فِی ٱلۡأَرۡحَامِۖ وَمَا تَدۡرِی نَفۡسࣱ مَّاذَا تَكۡسِبُ غَدࣰاۖ وَمَا تَدۡرِی نَفۡسُۢ بِأَیِّ أَرۡضࣲ تَمُوتُۚ إِنَّ ٱللَّهَ عَلِیمٌ خَبِیرُۢ,"Indeed, Allah [alone] has knowledge of the Hour and sends down the rain and knows what is in the wombs. And no soul perceives what it will earn tomorrow, and no soul perceives in what land it will die. Indeed, Allah is Knowing and Acquainted.",Luqman 31:34,General,Makki
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ الۤمۤ,"Alif, Lam, Meem.",As-Sajda 32:1,General,Makki
تَنزِیلُ ٱلۡكِتَـٰبِ لَا رَیۡبَ فِیهِ مِن رَّبِّ ٱلۡعَـٰلَمِینَ,[This is] the revelation of the Book about which there is no doubt from the Lord of the worlds.,As-Sajda 32:2,General,Makki
أَمۡ یَقُولُونَ ٱفۡتَرَىٰهُۚ بَلۡ هُوَ ٱلۡحَقُّ مِن رَّبِّكَ لِتُنذِرَ قَوۡمࣰا مَّاۤ أَتَىٰهُم مِّن نَّذِیرࣲ مِّن قَبۡلِكَ لَعَلَّهُمۡ یَهۡتَدُونَ,"Or do they say, ""He invented it""? Rather, it is the truth from your Lord, [O Muhammad], that you may warn a people to whom no warner has come before you [so] perhaps they will be guided.",As-Sajda 32:3,Warning & Admonition,Makki
ٱللَّهُ ٱلَّذِی خَلَقَ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضَ وَمَا بَیۡنَهُمَا فِی سِتَّةِ أَیَّامࣲ ثُمَّ ٱسۡتَوَىٰ عَلَى ٱلۡعَرۡشِۖ مَا لَكُم مِّن دُونِهِۦ مِن وَلِیࣲّ وَلَا شَفِیعٍۚ أَفَلَا تَتَذَكَّرُونَ,It is Allah who created the heavens and the earth and whatever is between them in six days; then He established Himself above the Throne. You have not besides Him any protector or any intercessor; so will you not be reminded?,As-Sajda 32:4,Theological (Aqeedah),Makki
یُدَبِّرُ ٱلۡأَمۡرَ مِنَ ٱلسَّمَاۤءِ إِلَى ٱلۡأَرۡضِ ثُمَّ یَعۡرُجُ إِلَیۡهِ فِی یَوۡمࣲ كَانَ مِقۡدَارُهُۥۤ أَلۡفَ سَنَةࣲ مِّمَّا تَعُدُّونَ,"He arranges [each] matter from the heaven to the earth; then it will ascend to Him in a Day, the extent of which is a thousand years of those which you count.",As-Sajda 32:5,Theological (Aqeedah),Makki
ذَ ٰ⁠لِكَ عَـٰلِمُ ٱلۡغَیۡبِ وَٱلشَّهَـٰدَةِ ٱلۡعَزِیزُ ٱلرَّحِیمُ,"That is the Knower of the unseen and the witnessed, the Exalted in Might, the Merciful,",As-Sajda 32:6,General,Makki
ٱلَّذِیۤ أَحۡسَنَ كُلَّ شَیۡءٍ خَلَقَهُۥۖ وَبَدَأَ خَلۡقَ ٱلۡإِنسَـٰنِ مِن طِینࣲ,Who perfected everything which He created and began the creation of man from clay.,As-Sajda 32:7,General,Makki
ثُمَّ جَعَلَ نَسۡلَهُۥ مِن سُلَـٰلَةࣲ مِّن مَّاۤءࣲ مَّهِینࣲ,Then He made his posterity out of the extract of a liquid disdained.,As-Sajda 32:8,General,Makki
ثُمَّ سَوَّىٰهُ وَنَفَخَ فِیهِ مِن رُّوحِهِۦۖ وَجَعَلَ لَكُمُ ٱلسَّمۡعَ وَٱلۡأَبۡصَـٰرَ وَٱلۡأَفۡـِٔدَةَۚ قَلِیلࣰا مَّا تَشۡكُرُونَ,Then He proportioned him and breathed into him from His [created] soul and made for you hearing and vision and hearts; little are you grateful.,As-Sajda 32:9,General,Makki
وَقَالُوۤا۟ أَءِذَا ضَلَلۡنَا فِی ٱلۡأَرۡضِ أَءِنَّا لَفِی خَلۡقࣲ جَدِیدِۭۚ بَلۡ هُم بِلِقَاۤءِ رَبِّهِمۡ كَـٰفِرُونَ,"And they say, ""When we are lost within the earth, will we indeed be [recreated] in a new creation?"" Rather, they are, in [the matter of] the meeting with their Lord, disbelievers.",As-Sajda 32:10,General,Makki
۞ قُلۡ یَتَوَفَّىٰكُم مَّلَكُ ٱلۡمَوۡتِ ٱلَّذِی وُكِّلَ بِكُمۡ ثُمَّ إِلَىٰ رَبِّكُمۡ تُرۡجَعُونَ,"Say, ""The angel of death will take you who has been entrusted with you. Then to your Lord you will be returned.""",As-Sajda 32:11,General,Makki
وَلَوۡ تَرَىٰۤ إِذِ ٱلۡمُجۡرِمُونَ نَاكِسُوا۟ رُءُوسِهِمۡ عِندَ رَبِّهِمۡ رَبَّنَاۤ أَبۡصَرۡنَا وَسَمِعۡنَا فَٱرۡجِعۡنَا نَعۡمَلۡ صَـٰلِحًا إِنَّا مُوقِنُونَ,"If you could but see when the criminals are hanging their heads before their Lord, [saying], ""Our Lord, we have seen and heard, so return us [to the world]; we will work righteousness. Indeed, we are [now] certain.""",As-Sajda 32:12,General,Makki
وَلَوۡ شِئۡنَا لَـَٔاتَیۡنَا كُلَّ نَفۡسٍ هُدَىٰهَا وَلَـٰكِنۡ حَقَّ ٱلۡقَوۡلُ مِنِّی لَأَمۡلَأَنَّ جَهَنَّمَ مِنَ ٱلۡجِنَّةِ وَٱلنَّاسِ أَجۡمَعِینَ,"And if We had willed, We could have given every soul its guidance, but the word from Me will come into effect [that] ""I will surely fill Hell with jinn and people all together.",As-Sajda 32:13,General,Makki
فَذُوقُوا۟ بِمَا نَسِیتُمۡ لِقَاۤءَ یَوۡمِكُمۡ هَـٰذَاۤ إِنَّا نَسِینَـٰكُمۡۖ وَذُوقُوا۟ عَذَابَ ٱلۡخُلۡدِ بِمَا كُنتُمۡ تَعۡمَلُونَ,"So taste [punishment] because you forgot the meeting of this, your Day; indeed, We have [accordingly] forgotten you. And taste the punishment of eternity for what you used to do.""",As-Sajda 32:14,General,Makki
إِنَّمَا یُؤۡمِنُ بِـَٔایَـٰتِنَا ٱلَّذِینَ إِذَا ذُكِّرُوا۟ بِهَا خَرُّوا۟ سُجَّدࣰا وَسَبَّحُوا۟ بِحَمۡدِ رَبِّهِمۡ وَهُمۡ لَا یَسۡتَكۡبِرُونَ ۩,"Only those believe in Our verses who, when they are reminded by them, fall down in prostration and exalt [Allah] with praise of their Lord, and they are not arrogant.",As-Sajda 32:15,General,Makki
تَتَجَافَىٰ جُنُوبُهُمۡ عَنِ ٱلۡمَضَاجِعِ یَدۡعُونَ رَبَّهُمۡ خَوۡفࣰا وَطَمَعࣰا وَمِمَّا رَزَقۡنَـٰهُمۡ یُنفِقُونَ,"They arise from [their] beds; they supplicate their Lord in fear and aspiration, and from what We have provided them, they spend.",As-Sajda 32:16,General,Makki
فَلَا تَعۡلَمُ نَفۡسࣱ مَّاۤ أُخۡفِیَ لَهُم مِّن قُرَّةِ أَعۡیُنࣲ جَزَاۤءَۢ بِمَا كَانُوا۟ یَعۡمَلُونَ,And no soul knows what has been hidden for them of comfort for eyes as reward for what they used to do.,As-Sajda 32:17,General,Makki
أَفَمَن كَانَ مُؤۡمِنࣰا كَمَن كَانَ فَاسِقࣰاۚ لَّا یَسۡتَوُۥنَ,Then is one who was a believer like one who was defiantly disobedient? They are not equal.,As-Sajda 32:18,General,Makki
أَمَّا ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ فَلَهُمۡ جَنَّـٰتُ ٱلۡمَأۡوَىٰ نُزُلَۢا بِمَا كَانُوا۟ یَعۡمَلُونَ,"As for those who believed and did righteous deeds, for them will be the Gardens of Refuge as accommodation for what they used to do.",As-Sajda 32:19,General,Makki
وَأَمَّا ٱلَّذِینَ فَسَقُوا۟ فَمَأۡوَىٰهُمُ ٱلنَّارُۖ كُلَّمَاۤ أَرَادُوۤا۟ أَن یَخۡرُجُوا۟ مِنۡهَاۤ أُعِیدُوا۟ فِیهَا وَقِیلَ لَهُمۡ ذُوقُوا۟ عَذَابَ ٱلنَّارِ ٱلَّذِی كُنتُم بِهِۦ تُكَذِّبُونَ,"But as for those who defiantly disobeyed, their refuge is the Fire. Every time they wish to emerge from it, they will be returned to it while it is said to them, ""Taste the punishment of the Fire which you used to deny.""",As-Sajda 32:20,General,Makki
وَلَنُذِیقَنَّهُم مِّنَ ٱلۡعَذَابِ ٱلۡأَدۡنَىٰ دُونَ ٱلۡعَذَابِ ٱلۡأَكۡبَرِ لَعَلَّهُمۡ یَرۡجِعُونَ,And we will surely let them taste the nearer punishment short of the greater punishment that perhaps they will repent.,As-Sajda 32:21,General,Makki
وَمَنۡ أَظۡلَمُ مِمَّن ذُكِّرَ بِـَٔایَـٰتِ رَبِّهِۦ ثُمَّ أَعۡرَضَ عَنۡهَاۤۚ إِنَّا مِنَ ٱلۡمُجۡرِمِینَ مُنتَقِمُونَ,"And who is more unjust than one who is reminded of the verses of his Lord; then he turns away from them? Indeed We, from the criminals, will take retribution.",As-Sajda 32:22,General,Makki
وَلَقَدۡ ءَاتَیۡنَا مُوسَى ٱلۡكِتَـٰبَ فَلَا تَكُن فِی مِرۡیَةࣲ مِّن لِّقَاۤىِٕهِۦۖ وَجَعَلۡنَـٰهُ هُدࣰى لِّبَنِیۤ إِسۡرَ ٰ⁠ۤءِیلَ,"And We certainly gave Moses the Scripture, so do not be in doubt over his meeting. And we made the Torah guidance for the Children of Israel.",As-Sajda 32:23,General,Makki
وَجَعَلۡنَا مِنۡهُمۡ أَىِٕمَّةࣰ یَهۡدُونَ بِأَمۡرِنَا لَمَّا صَبَرُوا۟ۖ وَكَانُوا۟ بِـَٔایَـٰتِنَا یُوقِنُونَ,And We made from among them leaders guiding by Our command when they were patient and [when] they were certain of Our signs.,As-Sajda 32:24,Patience & Perseverance,Makki
إِنَّ رَبَّكَ هُوَ یَفۡصِلُ بَیۡنَهُمۡ یَوۡمَ ٱلۡقِیَـٰمَةِ فِیمَا كَانُوا۟ فِیهِ یَخۡتَلِفُونَ,"Indeed, your Lord will judge between them on the Day of Resurrection concerning that over which they used to differ.",As-Sajda 32:25,General,Makki
أَوَلَمۡ یَهۡدِ لَهُمۡ كَمۡ أَهۡلَكۡنَا مِن قَبۡلِهِم مِّنَ ٱلۡقُرُونِ یَمۡشُونَ فِی مَسَـٰكِنِهِمۡۚ إِنَّ فِی ذَ ٰ⁠لِكَ لَـَٔایَـٰتٍۚ أَفَلَا یَسۡمَعُونَ,"Has it not become clear to them how many generations We destroyed before them, [as] they walk among their dwellings? Indeed in that are signs; then do they not hear?",As-Sajda 32:26,General,Makki
أَوَلَمۡ یَرَوۡا۟ أَنَّا نَسُوقُ ٱلۡمَاۤءَ إِلَى ٱلۡأَرۡضِ ٱلۡجُرُزِ فَنُخۡرِجُ بِهِۦ زَرۡعࣰا تَأۡكُلُ مِنۡهُ أَنۡعَـٰمُهُمۡ وَأَنفُسُهُمۡۚ أَفَلَا یُبۡصِرُونَ,Have they not seen that We drive the water [in clouds] to barren land and bring forth thereby crops from which their livestock eat and [they] themselves? Then do they not see?,As-Sajda 32:27,General,Makki
وَیَقُولُونَ مَتَىٰ هَـٰذَا ٱلۡفَتۡحُ إِن كُنتُمۡ صَـٰدِقِینَ,"And they say, ""When will be this conquest, if you should be truthful?""",As-Sajda 32:28,General,Makki
قُلۡ یَوۡمَ ٱلۡفَتۡحِ لَا یَنفَعُ ٱلَّذِینَ كَفَرُوۤا۟ إِیمَـٰنُهُمۡ وَلَا هُمۡ یُنظَرُونَ,"Say, [O Muhammad], ""On the Day of Conquest the belief of those who had disbelieved will not benefit them, nor will they be reprieved.""",As-Sajda 32:29,General,Makki
فَأَعۡرِضۡ عَنۡهُمۡ وَٱنتَظِرۡ إِنَّهُم مُّنتَظِرُونَ,"So turn away from them and wait. Indeed, they are waiting.",As-Sajda 32:30,General,Makki
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ یَـٰۤأَیُّهَا ٱلنَّبِیُّ ٱتَّقِ ٱللَّهۚ وَلَا تُطِعِ ٱلۡكَـٰفِرِینَ وَٱلۡمُنَـٰفِقِینَۗ إِنَّ ٱللَّهَ كَانَ عَلِیمًا حَكِیمࣰا,"O Prophet, fear Allah and do not obey the disbelievers and the hypocrites. Indeed, Allah is ever Knowing and Wise.",Al-Ahzaab 33:1,Fear of Allah (Taqwa),Madani
وَٱتَّبِعۡ مَا یُوحَىٰۤ إِلَیۡكَ مِن رَّبِّكَۚ إِنَّ ٱللَّهَ كَانَ بِمَا تَعۡمَلُونَ خَبِیرࣰا,"And follow that which is revealed to you from your Lord. Indeed Allah is ever, with what you do, Acquainted.",Al-Ahzaab 33:2,General,Madani
وَتَوَكَّلۡ عَلَى ٱللَّهِۚ وَكَفَىٰ بِٱللَّهِ وَكِیلࣰا,And rely upon Allah; and sufficient is Allah as Disposer of affairs.,Al-Ahzaab 33:3,Trust in Allah (Tawakkul),Madani
مَّا جَعَلَ ٱللَّهُ لِرَجُلࣲ مِّن قَلۡبَیۡنِ فِی جَوۡفِهِۦۚ وَمَا جَعَلَ أَزۡوَ ٰ⁠جَكُمُ ٱلَّـٰۤـِٔی تُظَـٰهِرُونَ مِنۡهُنَّ أُمَّهَـٰتِكُمۡۚ وَمَا جَعَلَ أَدۡعِیَاۤءَكُمۡ أَبۡنَاۤءَكُمۡۚ ذَ ٰ⁠لِكُمۡ قَوۡلُكُم بِأَفۡوَ ٰ⁠هِكُمۡۖ وَٱللَّهُ یَقُولُ ٱلۡحَقَّ وَهُوَ یَهۡدِی ٱلسَّبِیلَ,"Allah has not made for a man two hearts in his interior. And He has not made your wives whom you declare unlawful your mothers. And he has not made your adopted sons your [true] sons. That is [merely] your saying by your mouths, but Allah says the truth, and He guides to the [right] way.",Al-Ahzaab 33:4,Legal Rulings (Fiqh),Madani
ٱدۡعُوهُمۡ لِـَٔابَاۤىِٕهِمۡ هُوَ أَقۡسَطُ عِندَ ٱللَّهِۚ فَإِن لَّمۡ تَعۡلَمُوۤا۟ ءَابَاۤءَهُمۡ فَإِخۡوَ ٰ⁠نُكُمۡ فِی ٱلدِّینِ وَمَوَ ٰ⁠لِیكُمۡۚ وَلَیۡسَ عَلَیۡكُمۡ جُنَاحࣱ فِیمَاۤ أَخۡطَأۡتُم بِهِۦ وَلَـٰكِن مَّا تَعَمَّدَتۡ قُلُوبُكُمۡۚ وَكَانَ ٱللَّهُ غَفُورࣰا رَّحِیمًا,Call them by [the names of] their fathers; it is more just in the sight of Allah. But if you do not know their fathers - then they are [still] your brothers in religion and those entrusted to you. And there is no blame upon you for that in which you have erred but [only for] what your hearts intended. And ever is Allah Forgiving and Merciful.,Al-Ahzaab 33:5,Legal Rulings (Fiqh),Madani
ٱلنَّبِیُّ أَوۡلَىٰ بِٱلۡمُؤۡمِنِینَ مِنۡ أَنفُسِهِمۡۖ وَأَزۡوَ ٰ⁠جُهُۥۤ أُمَّهَـٰتُهُمۡۗ وَأُو۟لُوا۟ ٱلۡأَرۡحَامِ بَعۡضُهُمۡ أَوۡلَىٰ بِبَعۡضࣲ فِی كِتَـٰبِ ٱللَّهِ مِنَ ٱلۡمُؤۡمِنِینَ وَٱلۡمُهَـٰجِرِینَ إِلَّاۤ أَن تَفۡعَلُوۤا۟ إِلَىٰۤ أَوۡلِیَاۤىِٕكُم مَّعۡرُوفࣰاۚ كَانَ ذَ ٰ⁠لِكَ فِی ٱلۡكِتَـٰبِ مَسۡطُورࣰا,"The Prophet is more worthy of the believers than themselves, and his wives are [in the position of] their mothers. And those of [blood] relationship are more entitled [to inheritance] in the decree of Allah than the [other] believers and the emigrants, except that you may do to your close associates a kindness [through bequest]. That was in the Book inscribed.",Al-Ahzaab 33:6,Legal Rulings (Fiqh),Madani
وَإِذۡ أَخَذۡنَا مِنَ ٱلنَّبِیِّـۧنَ مِیثَـٰقَهُمۡ وَمِنكَ وَمِن نُّوحࣲ وَإِبۡرَ ٰ⁠هِیمَ وَمُوسَىٰ وَعِیسَى ٱبۡنِ مَرۡیَمَۖ وَأَخَذۡنَا مِنۡهُم مِّیثَـٰقًا غَلِیظࣰا,"And [mention, O Muhammad], when We took from the prophets their covenant and from you and from Noah and Abraham and Moses and Jesus, the son of Mary; and We took from them a solemn covenant.",Al-Ahzaab 33:7,Covenant & Promise,Madani
لِّیَسۡـَٔلَ ٱلصَّـٰدِقِینَ عَن صِدۡقِهِمۡۚ وَأَعَدَّ لِلۡكَـٰفِرِینَ عَذَابًا أَلِیمࣰا,That He may question the truthful about their truth. And He has prepared for the disbelievers a painful punishment.,Al-Ahzaab 33:8,Covenant & Promise,Madani
یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوا۟ ٱذۡكُرُوا۟ نِعۡمَةَ ٱللَّهِ عَلَیۡكُمۡ إِذۡ جَاۤءَتۡكُمۡ جُنُودࣱ فَأَرۡسَلۡنَا عَلَیۡهِمۡ رِیحࣰا وَجُنُودࣰا لَّمۡ تَرَوۡهَاۚ وَكَانَ ٱللَّهُ بِمَا تَعۡمَلُونَ بَصِیرًا,"O you who have believed, remember the favor of Allah upon you when armies came to [attack] you and We sent upon them a wind and armies [of angels] you did not see. And ever is Allah, of what you do, Seeing.",Al-Ahzaab 33:9,General,Madani
إِذۡ جَاۤءُوكُم مِّن فَوۡقِكُمۡ وَمِنۡ أَسۡفَلَ مِنكُمۡ وَإِذۡ زَاغَتِ ٱلۡأَبۡصَـٰرُ وَبَلَغَتِ ٱلۡقُلُوبُ ٱلۡحَنَاجِرَ وَتَظُنُّونَ بِٱللَّهِ ٱلظُّنُونَا۠,"[Remember] when they came at you from above you and from below you, and when eyes shifted [in fear], and hearts reached the throats and you assumed about Allah [various] assumptions.",Al-Ahzaab 33:10,General,Madani
هُنَالِكَ ٱبۡتُلِیَ ٱلۡمُؤۡمِنُونَ وَزُلۡزِلُوا۟ زِلۡزَالࣰا شَدِیدࣰا,There the believers were tested and shaken with a severe shaking.,Al-Ahzaab 33:11,General,Madani
وَإِذۡ یَقُولُ ٱلۡمُنَـٰفِقُونَ وَٱلَّذِینَ فِی قُلُوبِهِم مَّرَضࣱ مَّا وَعَدَنَا ٱللَّهُ وَرَسُولُهُۥۤ إِلَّا غُرُورࣰا,"And [remember] when the hypocrites and those in whose hearts is disease said, ""Allah and His Messenger did not promise us except delusion,""",Al-Ahzaab 33:12,General,Madani
وَإِذۡ قَالَت طَّاۤىِٕفَةࣱ مِّنۡهُمۡ یَـٰۤأَهۡلَ یَثۡرِبَ لَا مُقَامَ لَكُمۡ فَٱرۡجِعُوا۟ۚ وَیَسۡتَـٔۡذِنُ فَرِیقࣱ مِّنۡهُمُ ٱلنَّبِیَّ یَقُولُونَ إِنَّ بُیُوتَنَا عَوۡرَةࣱ وَمَا هِیَ بِعَوۡرَةٍۖ إِن یُرِیدُونَ إِلَّا فِرَارࣰا,"And when a faction of them said, ""O people of Yathrib, there is no stability for you [here], so return [home]."" And a party of them asked permission of the Prophet, saying, ""Indeed, our houses are unprotected,"" while they were not exposed. They did not intend except to flee.",Al-Ahzaab 33:13,General,Madani
وَلَوۡ دُخِلَتۡ عَلَیۡهِم مِّنۡ أَقۡطَارِهَا ثُمَّ سُىِٕلُوا۟ ٱلۡفِتۡنَةَ لَـَٔاتَوۡهَا وَمَا تَلَبَّثُوا۟ بِهَاۤ إِلَّا یَسِیرࣰا,"And if they had been entered upon from all its [surrounding] regions and fitnah had been demanded of them, they would have done it and not hesitated over it except briefly.",Al-Ahzaab 33:14,General,Madani
وَلَقَدۡ كَانُوا۟ عَـٰهَدُوا۟ ٱللَّهَ مِن قَبۡلُ لَا یُوَلُّونَ ٱلۡأَدۡبَـٰرَۚ وَكَانَ عَهۡدُ ٱللَّهِ مَسۡـُٔولࣰا,And they had already promised Allah before not to turn their backs and flee. And ever is the promise to Allah [that about which one will be] questioned.,Al-Ahzaab 33:15,Covenant & Promise,Madani
قُل لَّن یَنفَعَكُمُ ٱلۡفِرَارُ إِن فَرَرۡتُم مِّنَ ٱلۡمَوۡتِ أَوِ ٱلۡقَتۡلِ وَإِذࣰا لَّا تُمَتَّعُونَ إِلَّا قَلِیلࣰا,"Say, [O Muhammad], ""Never will fleeing benefit you if you should flee from death or killing; and then [if you did], you would not be given enjoyment [of life] except for a little.""",Al-Ahzaab 33:16,General,Madani
قُلۡ مَن ذَا ٱلَّذِی یَعۡصِمُكُم مِّنَ ٱللَّهِ إِنۡ أَرَادَ بِكُمۡ سُوۤءًا أَوۡ أَرَادَ بِكُمۡ رَحۡمَةࣰۚ وَلَا یَجِدُونَ لَهُم مِّن دُونِ ٱللَّهِ وَلِیࣰّا وَلَا نَصِیرࣰا,"Say, ""Who is it that can protect you from Allah if He intends for you an ill or intends for you a mercy?"" And they will not find for themselves besides Allah any protector or any helper.",Al-Ahzaab 33:17,General,Madani
۞ قَدۡ یَعۡلَمُ ٱللَّهُ ٱلۡمُعَوِّقِینَ مِنكُمۡ وَٱلۡقَاۤىِٕلِینَ لِإِخۡوَ ٰ⁠نِهِمۡ هَلُمَّ إِلَیۡنَاۖ وَلَا یَأۡتُونَ ٱلۡبَأۡسَ إِلَّا قَلِیلًا,"Already Allah knows the hinderers among you and those [hypocrites] who say to their brothers, ""Come to us,"" and do not go to battle, except for a few,",Al-Ahzaab 33:18,General,Madani
أَشِحَّةً عَلَیۡكُمۡۖ فَإِذَا جَاۤءَ ٱلۡخَوۡفُ رَأَیۡتَهُمۡ یَنظُرُونَ إِلَیۡكَ تَدُورُ أَعۡیُنُهُمۡ كَٱلَّذِی یُغۡشَىٰ عَلَیۡهِ مِنَ ٱلۡمَوۡتِۖ فَإِذَا ذَهَبَ ٱلۡخَوۡفُ سَلَقُوكُم بِأَلۡسِنَةٍ حِدَادٍ أَشِحَّةً عَلَى ٱلۡخَیۡرِۚ أُو۟لَـٰۤىِٕكَ لَمۡ یُؤۡمِنُوا۟ فَأَحۡبَطَ ٱللَّهُ أَعۡمَـٰلَهُمۡۚ وَكَانَ ذَ ٰ⁠لِكَ عَلَى ٱللَّهِ یَسِیرࣰا,"Indisposed toward you. And when fear comes, you see them looking at you, their eyes revolving like one being overcome by death. But when fear departs, they lash you with sharp tongues, indisposed toward [any] good. Those have not believed, so Allah has rendered their deeds worthless, and ever is that, for Allah, easy.",Al-Ahzaab 33:19,General,Madani
یَحۡسَبُونَ ٱلۡأَحۡزَابَ لَمۡ یَذۡهَبُوا۟ۖ وَإِن یَأۡتِ ٱلۡأَحۡزَابُ یَوَدُّوا۟ لَوۡ أَنَّهُم بَادُونَ فِی ٱلۡأَعۡرَابِ یَسۡـَٔلُونَ عَنۡ أَنۢبَاۤىِٕكُمۡۖ وَلَوۡ كَانُوا۟ فِیكُم مَّا قَـٰتَلُوۤا۟ إِلَّا قَلِیلࣰا,"They think the companies have not [yet] withdrawn. And if the companies should come [again], they would wish they were in the desert among the bedouins, inquiring [from afar] about your news. And if they should be among you, they would not fight except for a little.",Al-Ahzaab 33:20,General,Madani
لَّقَدۡ كَانَ لَكُمۡ فِی رَسُولِ ٱللَّهِ أُسۡوَةٌ حَسَنَةࣱ لِّمَن كَانَ یَرۡجُوا۟ ٱللَّهَ وَٱلۡیَوۡمَ ٱلۡـَٔاخِرَ وَذَكَرَ ٱللَّهَ كَثِیرࣰا,There has certainly been for you in the Messenger of Allah an excellent pattern for anyone whose hope is in Allah and the Last Day and [who] remembers Allah often.,Al-Ahzaab 33:21,Covenant & Promise,Madani
وَلَمَّا رَءَا ٱلۡمُؤۡمِنُونَ ٱلۡأَحۡزَابَ قَالُوا۟ هَـٰذَا مَا وَعَدَنَا ٱللَّهُ وَرَسُولُهُۥ وَصَدَقَ ٱللَّهُ وَرَسُولُهُۥۚ وَمَا زَادَهُمۡ إِلَّاۤ إِیمَـٰنࣰا وَتَسۡلِیمࣰا,"And when the believers saw the companies, they said, ""This is what Allah and His Messenger had promised us, and Allah and His Messenger spoke the truth."" And it increased them only in faith and acceptance.",Al-Ahzaab 33:22,General,Madani
مِّنَ ٱلۡمُؤۡمِنِینَ رِجَالࣱ صَدَقُوا۟ مَا عَـٰهَدُوا۟ ٱللَّهَ عَلَیۡهِۖ فَمِنۡهُم مَّن قَضَىٰ نَحۡبَهُۥ وَمِنۡهُم مَّن یَنتَظِرُۖ وَمَا بَدَّلُوا۟ تَبۡدِیلࣰا,"Among the believers are men true to what they promised Allah. Among them is he who has fulfilled his vow [to the death], and among them is he who awaits [his chance]. And they did not alter [the terms of their commitment] by any alteration -",Al-Ahzaab 33:23,Covenant & Promise,Madani
لِّیَجۡزِیَ ٱللَّهُ ٱلصَّـٰدِقِینَ بِصِدۡقِهِمۡ وَیُعَذِّبَ ٱلۡمُنَـٰفِقِینَ إِن شَاۤءَ أَوۡ یَتُوبَ عَلَیۡهِمۡۚ إِنَّ ٱللَّهَ كَانَ غَفُورࣰا رَّحِیمࣰا,"That Allah may reward the truthful for their truth and punish the hypocrites if He wills or accept their repentance. Indeed, Allah is ever Forgiving and Merciful.",Al-Ahzaab 33:24,General,Madani
وَرَدَّ ٱللَّهُ ٱلَّذِینَ كَفَرُوا۟ بِغَیۡظِهِمۡ لَمۡ یَنَالُوا۟ خَیۡرࣰاۚ وَكَفَى ٱللَّهُ ٱلۡمُؤۡمِنِینَ ٱلۡقِتَالَۚ وَكَانَ ٱللَّهُ قَوِیًّا عَزِیزࣰا,"And Allah repelled those who disbelieved, in their rage, not having obtained any good. And sufficient was Allah for the believers in battle, and ever is Allah Powerful and Exalted in Might.",Al-Ahzaab 33:25,General,Madani
وَأَنزَلَ ٱلَّذِینَ ظَـٰهَرُوهُم مِّنۡ أَهۡلِ ٱلۡكِتَـٰبِ مِن صَیَاصِیهِمۡ وَقَذَفَ فِی قُلُوبِهِمُ ٱلرُّعۡبَ فَرِیقࣰا تَقۡتُلُونَ وَتَأۡسِرُونَ فَرِیقࣰا,"And He brought down those who supported them among the People of the Scripture from their fortresses and cast terror into their hearts [so that] a party you killed, and you took captive a party.",Al-Ahzaab 33:26,General,Madani
